user_id,speed_strategy,speed_mean_log2,speed_seconds_per_tag,speed_timestamped_assignments,pattern_strategy,pattern_vertical_strategy,pattern_count_NNNN,pattern_count_YYY,pattern_count_YYYY,pattern_vertical_count_NNNN,pattern_vertical_count_YYYY,agreement_cohens_kappa,agreement_percent_agreement
10203,LogTrimTaggingSpeed,1.567343,2.963585,402,HorizontalPatternDetection,VerticalPatternDetection,,,20,,12,0.866667,0.02537
10204,LogTrimTaggingSpeed,1.173237,2.255171,138,HorizontalPatternDetection,VerticalPatternDetection,,,7,,6,0,0
10205,LogTrimTaggingSpeed,1.917384,3.777375,483,HorizontalPatternDetection,VerticalPatternDetection,,,17,,10,1,0.037117
10206,LogTrimTaggingSpeed,1.625701,3.08592,501,HorizontalPatternDetection,VerticalPatternDetection,,,21,,16,1,0.023226
10207,LogTrimTaggingSpeed,2.921677,7.577266,349,HorizontalPatternDetection,VerticalPatternDetection,,,17,,11,0.933333,0.029364
10208,LogTrimTaggingSpeed,3.510873,11.399299,231,HorizontalPatternDetection,VerticalPatternDetection,,,7,,5,1,0.021341
10209,LogTrimTaggingSpeed,1.019123,2.026686,90,HorizontalPatternDetection,,,,4,,,1,0.036198
10210,LogTrimTaggingSpeed,1.983243,3.953807,159,HorizontalPatternDetection,VerticalPatternDetection,,,6,,2,0.75,0.021919
10211,LogTrimTaggingSpeed,1.440667,2.714463,459,HorizontalPatternDetection,VerticalPatternDetection,,,19,,13,1,0.035716
10213,LogTrimTaggingSpeed,2.160964,4.472136,3,,,,,,,,0,0
10214,LogTrimTaggingSpeed,1.009689,2.013477,384,HorizontalPatternDetection,VerticalPatternDetection,,,24,,22,1,0.032096
10215,,,,,,,,,,,,0,0
10216,LogTrimTaggingSpeed,1.547247,2.92259,480,HorizontalPatternDetection,VerticalPatternDetection,,,24,,16,0.928571,0.033163
10219,LogTrimTaggingSpeed,1.181875,2.268715,522,HorizontalPatternDetection,VerticalPatternDetection,,,24,,18,1,0.029733
10220,LogTrimTaggingSpeed,0.295336,1.227171,632,HorizontalPatternDetection,VerticalPatternDetection,,,27,,19,1,0.035486
10221,LogTrimTaggingSpeed,0.961852,1.947809,552,HorizontalPatternDetection,VerticalPatternDetection,,,26,,18,1,0.019472
10222,LogTrimTaggingSpeed,1.113839,2.164208,321,HorizontalPatternDetection,VerticalPatternDetection,,,9,,6,1,0.030989
10223,LogTrimTaggingSpeed,1.097759,2.140219,576,HorizontalPatternDetection,VerticalPatternDetection,,,22,,15,0.857143,0.02767
10224,LogTrimTaggingSpeed,0.308983,1.238834,336,HorizontalPatternDetection,VerticalPatternDetection,,,17,,13,1,0.019089
10225,LogTrimTaggingSpeed,2.655261,6.299605,4,,,,,,,,0.5,0.016001
10226,LogTrimTaggingSpeed,1.161751,2.237288,558,HorizontalPatternDetection,VerticalPatternDetection,,,25,,19,0.933333,0.027751
10227,LogTrimTaggingSpeed,1.151095,2.220824,765,HorizontalPatternDetection,VerticalPatternDetection,,,42,,37,1,0.037753
10229,LogTrimTaggingSpeed,1.64597,3.129581,696,HorizontalPatternDetection,VerticalPatternDetection,,,38,,31,0.6,0.024732
10230,LogTrimTaggingSpeed,1.159517,2.233826,270,HorizontalPatternDetection,VerticalPatternDetection,,,9,,4,0.933333,0.027751
10231,LogTrimTaggingSpeed,0.54422,1.458231,607,HorizontalPatternDetection,VerticalPatternDetection,,,28,,22,0.892857,0.030385
10233,LogTrimTaggingSpeed,1.536849,2.901601,150,HorizontalPatternDetection,VerticalPatternDetection,,,6,,3,1,0.028126
10234,LogTrimTaggingSpeed,1.457996,2.747264,99,HorizontalPatternDetection,VerticalPatternDetection,,,4,,2,1,0.01662
10235,LogTrimTaggingSpeed,2.702881,6.511008,455,HorizontalPatternDetection,VerticalPatternDetection,,,15,,9,1,0.017729
10237,LogTrimTaggingSpeed,0.688904,1.612059,84,HorizontalPatternDetection,VerticalPatternDetection,,,5,,4,0,0
10238,LogTrimTaggingSpeed,1.549829,2.927825,700,HorizontalPatternDetection,VerticalPatternDetection,,,36,,30,0.857143,0.027717
10239,LogTrimTaggingSpeed,1.498442,2.825374,549,HorizontalPatternDetection,VerticalPatternDetection,,,30,,22,0.733333,0.023997
10240,LogTrimTaggingSpeed,2.454473,5.481127,270,HorizontalPatternDetection,VerticalPatternDetection,,,10,,7,1,0.034765
10241,LogTrimTaggingSpeed,1.108367,2.156014,552,HorizontalPatternDetection,VerticalPatternDetection,,,27,,21,1,0.019472
10242,LogTrimTaggingSpeed,1.751142,3.366248,405,HorizontalPatternDetection,VerticalPatternDetection,,,20,,17,0.583333,0.015802
10243,LogTrimTaggingSpeed,1.357897,2.563112,315,HorizontalPatternDetection,VerticalPatternDetection,,,12,,7,0.272727,0.010238
10244,LogTrimTaggingSpeed,1.428215,2.691135,501,HorizontalPatternDetection,VerticalPatternDetection,,,28,,24,1,0.032099
10248,LogTrimTaggingSpeed,1.264704,2.40278,492,HorizontalPatternDetection,VerticalPatternDetection,,,24,,18,0.8,0.018842
10249,LogTrimTaggingSpeed,3.426377,10.750838,456,HorizontalPatternDetection,VerticalPatternDetection,,,19,,13,1,0.029733
10250,LogTrimTaggingSpeed,2.355764,5.118652,271,HorizontalPatternDetection,VerticalPatternDetection,,,11,,6,0.9,0.031289
10251,LogTrimTaggingSpeed,1.767941,3.405675,270,HorizontalPatternDetection,VerticalPatternDetection,,,11,,7,1,0.034765
10252,LogTrimTaggingSpeed,1.261089,2.396765,307,HorizontalPatternDetection,VerticalPatternDetection,,,13,,10,0.9,0.031289
10254,LogTrimTaggingSpeed,0.769215,1.704342,275,HorizontalPatternDetection,VerticalPatternDetection,,,7,,4,0.75,0.012736
10262,LogTrimTaggingSpeed,1.2751,2.420155,162,HorizontalPatternDetection,VerticalPatternDetection,,,6,,4,1,0.023515
10265,LogTrimTaggingSpeed,0.288363,1.221254,288,HorizontalPatternDetection,VerticalPatternDetection,,,16,,14,0.75,0.012736
10266,LogTrimTaggingSpeed,1.468785,2.767887,438,HorizontalPatternDetection,VerticalPatternDetection,,,17,,13,0.75,0.013291
10269,LogTrimTaggingSpeed,0.530977,1.444908,603,HorizontalPatternDetection,VerticalPatternDetection,,,21,,16,0.818182,0.014499
10270,LogTrimTaggingSpeed,1.263192,2.400262,219,HorizontalPatternDetection,VerticalPatternDetection,,,9,,6,1,0.017383
10271,LogTrimTaggingSpeed,1.387594,2.61642,480,HorizontalPatternDetection,VerticalPatternDetection,,,16,,13,0.714286,0.013698
10273,LogTrimTaggingSpeed,0.514916,1.428911,216,HorizontalPatternDetection,VerticalPatternDetection,,,8,,7,1,0.028018
10274,LogTrimTaggingSpeed,1.546194,2.920457,231,HorizontalPatternDetection,VerticalPatternDetection,,,9,,3,0.5,0.014706
10321,LogTrimTaggingSpeed,1.706513,3.263711,285,HorizontalPatternDetection,VerticalPatternDetection,,,17,,13,1,0.025733
10332,LogTrimTaggingSpeed,1.610133,3.0528,205,HorizontalPatternDetection,VerticalPatternDetection,,,9,,9,0.5,0.011054
10334,LogTrimTaggingSpeed,0.519518,1.433476,253,HorizontalPatternDetection,VerticalPatternDetection,,,17,,17,0,0
10362,LogTrimTaggingSpeed,5.133431,35.100767,421,HorizontalPatternDetection,VerticalPatternDetection,,,23,,22,1,0.032745
10363,LogTrimTaggingSpeed,1.983204,3.953703,392,HorizontalPatternDetection,VerticalPatternDetection,,,23,,21,1,0.039888
10364,LogTrimTaggingSpeed,1.422441,2.680386,292,HorizontalPatternDetection,VerticalPatternDetection,,,17,,16,1,0.051939
10365,LogTrimTaggingSpeed,1.680098,3.204497,292,HorizontalPatternDetection,VerticalPatternDetection,,,13,,12,0.333333,0.015873
10366,LogTrimTaggingSpeed,2.466756,5.527994,340,HorizontalPatternDetection,VerticalPatternDetection,,,21,,20,1,0.04479
10367,LogTrimTaggingSpeed,1.272867,2.416413,273,HorizontalPatternDetection,VerticalPatternDetection,,,19,,18,1,0.027974
10368,LogTrimTaggingSpeed,1.601488,3.034561,344,HorizontalPatternDetection,VerticalPatternDetection,,,15,,13,0.5,0.005588
10369,LogTrimTaggingSpeed,3.388915,10.475263,396,HorizontalPatternDetection,VerticalPatternDetection,,,24,,23,1,0.048758
10370,LogTrimTaggingSpeed,5.428699,43.072618,331,HorizontalPatternDetection,VerticalPatternDetection,,,21,,20,1,0.04479
10371,LogTrimTaggingSpeed,2.130639,4.379114,212,HorizontalPatternDetection,VerticalPatternDetection,,,9,,9,0.833333,0.036705
10372,LogTrimTaggingSpeed,2.026818,4.075051,388,HorizontalPatternDetection,VerticalPatternDetection,,,12,,10,0.875,0.043542
10373,LogTrimTaggingSpeed,1.389364,2.619631,410,HorizontalPatternDetection,VerticalPatternDetection,,,27,,26,0.75,0.03375
10374,LogTrimTaggingSpeed,1.175585,2.258845,362,HorizontalPatternDetection,VerticalPatternDetection,,,15,,15,0.5,0.011176
10375,LogTrimTaggingSpeed,2.277173,4.84727,426,HorizontalPatternDetection,VerticalPatternDetection,,,30,,29,1,0.039202
10376,LogTrimTaggingSpeed,5.277644,38.79084,410,HorizontalPatternDetection,VerticalPatternDetection,,,23,,21,1,0.032745
10377,LogTrimTaggingSpeed,3.317262,9.967709,310,HorizontalPatternDetection,VerticalPatternDetection,,,23,,22,1,0.04479
10378,LogTrimTaggingSpeed,1.007372,2.010246,312,HorizontalPatternDetection,VerticalPatternDetection,,,18,,17,1,0.037124
10379,LogTrimTaggingSpeed,5.58161,47.888574,390,HorizontalPatternDetection,VerticalPatternDetection,,,23,,22,1,0.032745
10380,LogTrimTaggingSpeed,0.661642,1.581882,251,HorizontalPatternDetection,VerticalPatternDetection,,,10,,9,1,0.022353
10381,LogTrimTaggingSpeed,4.294063,19.617416,283,HorizontalPatternDetection,VerticalPatternDetection,,,16,,14,1,0.148235
10382,LogTrimTaggingSpeed,2.170208,4.500883,391,HorizontalPatternDetection,VerticalPatternDetection,,,24,,22,1,0.039888
10383,LogTrimTaggingSpeed,1.254563,2.385948,250,HorizontalPatternDetection,VerticalPatternDetection,,,16,,15,1,0.051939
10384,LogTrimTaggingSpeed,2.311391,4.963616,389,HorizontalPatternDetection,VerticalPatternDetection,,,24,,24,1,0.046648
10385,LogTrimTaggingSpeed,1.674152,3.191317,350,HorizontalPatternDetection,VerticalPatternDetection,,,21,,20,1,0.048758
10386,LogTrimTaggingSpeed,1.567353,2.963605,365,HorizontalPatternDetection,VerticalPatternDetection,,,21,,19,1,0.026013
10388,LogTrimTaggingSpeed,1.677625,3.199009,327,HorizontalPatternDetection,VerticalPatternDetection,,,20,,19,0.5,0.022194
10389,LogTrimTaggingSpeed,2.180782,4.533994,318,HorizontalPatternDetection,VerticalPatternDetection,,,20,,19,1,0.024412
10391,LogTrimTaggingSpeed,3.60048,12.129764,383,HorizontalPatternDetection,VerticalPatternDetection,,,25,,24,1,0.039202
10392,LogTrimTaggingSpeed,4.303776,19.749932,337,HorizontalPatternDetection,VerticalPatternDetection,,,16,,15,1,0.029967
10393,LogTrimTaggingSpeed,1.537323,2.902555,114,HorizontalPatternDetection,VerticalPatternDetection,,,6,,6,0,0
10394,LogTrimTaggingSpeed,2.923433,7.586495,445,HorizontalPatternDetection,VerticalPatternDetection,,,21,,19,0.5,0.024241
10395,LogTrimTaggingSpeed,1.887414,3.699714,371,HorizontalPatternDetection,VerticalPatternDetection,,,18,,17,0.75,0.027843
10396,LogTrimTaggingSpeed,1.261021,2.396653,396,HorizontalPatternDetection,VerticalPatternDetection,,,28,,27,1,0.037124
10397,LogTrimTaggingSpeed,2.808497,7.005545,342,HorizontalPatternDetection,VerticalPatternDetection,,,21,,20,0.875,0.044746
10398,LogTrimTaggingSpeed,2.575241,5.959707,387,HorizontalPatternDetection,VerticalPatternDetection,,,27,,25,1,0.039888
10399,LogTrimTaggingSpeed,1.76459,3.397774,343,HorizontalPatternDetection,VerticalPatternDetection,,,21,,20,1,0.043856
10400,LogTrimTaggingSpeed,1.561183,2.950957,269,HorizontalPatternDetection,VerticalPatternDetection,,,15,,13,1,0.037124
10401,LogTrimTaggingSpeed,1.254893,2.386494,183,HorizontalPatternDetection,VerticalPatternDetection,,,5,,4,1,0.022353
10402,LogTrimTaggingSpeed,2.077137,4.219691,349,HorizontalPatternDetection,VerticalPatternDetection,,,20,,19,1,0.048758
10403,LogTrimTaggingSpeed,1.159545,2.233869,404,HorizontalPatternDetection,VerticalPatternDetection,,,29,,27,1,0.032745
10404,LogTrimTaggingSpeed,1.053954,2.076212,248,HorizontalPatternDetection,VerticalPatternDetection,,,14,,13,0.333333,0.013072
10405,LogTrimTaggingSpeed,1.51104,2.850154,376,HorizontalPatternDetection,VerticalPatternDetection,,,17,,16,1,0.026013
10406,LogTrimTaggingSpeed,1.532175,2.892216,350,HorizontalPatternDetection,VerticalPatternDetection,,,18,,17,1,0.037124
10407,LogTrimTaggingSpeed,2.805783,6.992377,340,HorizontalPatternDetection,VerticalPatternDetection,,,15,,14,1,0.04479
10408,LogTrimTaggingSpeed,3.09694,8.556023,415,HorizontalPatternDetection,VerticalPatternDetection,,,24,,23,0.75,0.044704
10409,LogTrimTaggingSpeed,1.328686,2.511738,279,HorizontalPatternDetection,VerticalPatternDetection,,,16,,15,0.833333,0.025969
10410,LogTrimTaggingSpeed,1.577748,2.985035,397,HorizontalPatternDetection,VerticalPatternDetection,,,26,,24,1,0.048758
10412,LogTrimTaggingSpeed,1.853204,3.613018,334,HorizontalPatternDetection,VerticalPatternDetection,,,7,,5,1,0.051939
10413,LogTrimTaggingSpeed,1.87504,3.668119,250,HorizontalPatternDetection,VerticalPatternDetection,,,16,,15,1,0.051939
10414,LogTrimTaggingSpeed,4.292092,19.590628,362,HorizontalPatternDetection,VerticalPatternDetection,,,24,,23,1,0.032745
10415,LogTrimTaggingSpeed,1.573057,2.975344,298,HorizontalPatternDetection,VerticalPatternDetection,,,13,,13,0.833333,0.027877
10416,LogTrimTaggingSpeed,1.806047,3.496829,397,HorizontalPatternDetection,VerticalPatternDetection,,,26,,25,0.666667,0.007451
10417,LogTrimTaggingSpeed,3.129998,8.754336,113,HorizontalPatternDetection,VerticalPatternDetection,,,9,,9,1,0.066667
10418,LogTrimTaggingSpeed,2.188887,4.559537,339,HorizontalPatternDetection,VerticalPatternDetection,,,16,,15,1,0.024412
10419,LogTrimTaggingSpeed,1.748382,3.359815,377,HorizontalPatternDetection,VerticalPatternDetection,,,18,,17,1,0.037124
10420,LogTrimTaggingSpeed,1.332744,2.518813,397,HorizontalPatternDetection,VerticalPatternDetection,,,18,,16,1,0.037124
10421,LogTrimTaggingSpeed,2.53046,5.777558,248,HorizontalPatternDetection,VerticalPatternDetection,,,19,,19,1,0.148235
10422,LogTrimTaggingSpeed,1.965469,3.905396,425,HorizontalPatternDetection,VerticalPatternDetection,,,28,,26,1,0.04317
10423,LogTrimTaggingSpeed,1.8619,3.634861,394,HorizontalPatternDetection,VerticalPatternDetection,,,25,,23,0.5,0.111092
10424,LogTrimTaggingSpeed,1.548061,2.924239,441,HorizontalPatternDetection,VerticalPatternDetection,,,30,,29,1,0.032059
10425,LogTrimTaggingSpeed,2.653862,6.2935,393,HorizontalPatternDetection,VerticalPatternDetection,,,19,,17,1,0.039888
10428,LogTrimTaggingSpeed,3.860026,14.52057,274,HorizontalPatternDetection,VerticalPatternDetection,,,13,,13,1,0.148235
10431,LogTrimTaggingSpeed,2.573485,5.952457,298,HorizontalPatternDetection,VerticalPatternDetection,,,11,,9,1,0.039888
10432,LogTrimTaggingSpeed,4.73541,26.63793,390,HorizontalPatternDetection,VerticalPatternDetection,,,23,,22,1,0.04479
10433,LogTrimTaggingSpeed,1.187627,2.277778,213,,,,,,,,0.5,0.010077
10434,LogTrimTaggingSpeed,1.440708,2.71454,306,HorizontalPatternDetection,VerticalPatternDetection,,,20,,19,1,0.148235
10435,LogTrimTaggingSpeed,1.361464,2.569459,402,HorizontalPatternDetection,VerticalPatternDetection,,,15,,13,0.75,0.016078
10436,LogTrimTaggingSpeed,0.80411,1.746069,296,HorizontalPatternDetection,VerticalPatternDetection,,,12,,12,1,0.013987
10437,LogTrimTaggingSpeed,2.033175,4.093047,110,HorizontalPatternDetection,VerticalPatternDetection,,,7,,7,1,0.066667
10438,LogTrimTaggingSpeed,1.449398,2.730941,326,HorizontalPatternDetection,VerticalPatternDetection,,,19,,17,1,0.046648
10441,LogTrimTaggingSpeed,0.661418,1.581637,286,HorizontalPatternDetection,VerticalPatternDetection,,,20,,19,1,0.021438
10442,LogTrimTaggingSpeed,1.525427,2.878718,316,HorizontalPatternDetection,VerticalPatternDetection,,,22,,21,1,0.024412
10443,LogTrimTaggingSpeed,2.019363,4.054048,300,HorizontalPatternDetection,VerticalPatternDetection,,,18,,17,1,0.051939
10446,LogTrimTaggingSpeed,0.452405,1.36832,150,HorizontalPatternDetection,VerticalPatternDetection,,,12,,12,1,0.066667
10447,LogTrimTaggingSpeed,1.622335,3.078729,356,HorizontalPatternDetection,VerticalPatternDetection,,,24,,23,1,0.048758
10448,LogTrimTaggingSpeed,1.711887,3.27589,339,HorizontalPatternDetection,VerticalPatternDetection,,,15,,13,1,0.024412
10449,LogTrimTaggingSpeed,2.106108,4.305284,359,HorizontalPatternDetection,VerticalPatternDetection,,,9,,8,0.75,0.023081
10451,LogTrimTaggingSpeed,2.103872,4.298616,300,HorizontalPatternDetection,VerticalPatternDetection,,,20,,20,0,0
10453,LogTrimTaggingSpeed,2.015391,4.042901,203,HorizontalPatternDetection,VerticalPatternDetection,,,13,,12,0,0
10459,LogTrimTaggingSpeed,0.504026,1.418166,232,HorizontalPatternDetection,VerticalPatternDetection,,,17,,16,1,0.022353
10460,LogTrimTaggingSpeed,2.850438,7.212191,158,HorizontalPatternDetection,VerticalPatternDetection,,,10,,10,0,0
10464,LogTrimTaggingSpeed,2.222678,4.667592,341,HorizontalPatternDetection,VerticalPatternDetection,,,19,,17,1,0.032059
10465,LogTrimTaggingSpeed,0.843276,1.79412,84,HorizontalPatternDetection,VerticalPatternDetection,,,6,,6,0.5,0.022121
10466,LogTrimTaggingSpeed,1.548089,2.924295,393,HorizontalPatternDetection,VerticalPatternDetection,,,17,,16,1,0.032745
10467,LogTrimTaggingSpeed,1.997416,3.992843,301,HorizontalPatternDetection,VerticalPatternDetection,,,17,,16,1,0.051939
10468,LogTrimTaggingSpeed,1.631894,3.099196,285,HorizontalPatternDetection,VerticalPatternDetection,,,18,,18,1,0.148235
10469,LogTrimTaggingSpeed,3.730777,13.276264,371,HorizontalPatternDetection,VerticalPatternDetection,,,14,,13,1,0.046648
10470,LogTrimTaggingSpeed,2.311376,4.963563,307,HorizontalPatternDetection,VerticalPatternDetection,,,17,,15,0.833333,0.044488
10473,LogTrimTaggingSpeed,1.4013,2.641394,425,HorizontalPatternDetection,VerticalPatternDetection,,,23,,21,1,0.037647
10476,LogTrimTaggingSpeed,1.242093,2.365415,359,HorizontalPatternDetection,VerticalPatternDetection,,,21,,20,1,0.026013
10477,LogTrimTaggingSpeed,1.876208,3.67109,296,HorizontalPatternDetection,VerticalPatternDetection,,,10,,9,0,0
10478,LogTrimTaggingSpeed,1.213807,2.31949,289,HorizontalPatternDetection,VerticalPatternDetection,,,15,,14,1,0.021438
10555,LogTrimTaggingSpeed,1.329045,2.512364,412,HorizontalPatternDetection,VerticalPatternDetection,,,22,,18,0.875,0.047013
10556,LogTrimTaggingSpeed,1.357468,2.562351,394,HorizontalPatternDetection,VerticalPatternDetection,,,24,,20,1,0.052497
10557,LogTrimTaggingSpeed,1.487638,2.804295,397,HorizontalPatternDetection,VerticalPatternDetection,,,19,,15,0.9375,0.046887
10559,LogTrimTaggingSpeed,1.412327,2.661662,328,HorizontalPatternDetection,VerticalPatternDetection,,,15,,13,0,0
10560,LogTrimTaggingSpeed,1.367709,2.580605,368,HorizontalPatternDetection,VerticalPatternDetection,,,22,,19,1,0.048733
10561,LogTrimTaggingSpeed,1.758194,3.382744,338,HorizontalPatternDetection,VerticalPatternDetection,,,21,,19,1,0.062978
10562,LogTrimTaggingSpeed,0.465932,1.381209,203,HorizontalPatternDetection,VerticalPatternDetection,,,14,,11,1,0.017544
10563,LogTrimTaggingSpeed,1.423576,2.682496,442,HorizontalPatternDetection,VerticalPatternDetection,,,26,,22,0.875,0.099174
10565,LogTrimTaggingSpeed,1.320768,2.497991,388,HorizontalPatternDetection,VerticalPatternDetection,,,25,,23,0.75,0.014036
10566,LogTrimTaggingSpeed,1.105305,2.151444,194,HorizontalPatternDetection,VerticalPatternDetection,,,12,,11,0.75,0.07516
10568,LogTrimTaggingSpeed,1.293284,2.450852,206,HorizontalPatternDetection,VerticalPatternDetection,,,15,,13,1,0.018714
10569,LogTrimTaggingSpeed,0.806473,1.748931,154,HorizontalPatternDetection,VerticalPatternDetection,,,8,,7,1,0.035088
10570,LogTrimTaggingSpeed,1.096233,2.137957,312,HorizontalPatternDetection,VerticalPatternDetection,,,21,,19,1,0.178363
10571,LogTrimTaggingSpeed,1.417025,2.670343,336,HorizontalPatternDetection,VerticalPatternDetection,,,21,,19,0.5,0.008772
10572,LogTrimTaggingSpeed,1.232223,2.349288,486,HorizontalPatternDetection,VerticalPatternDetection,,,29,,25,0.5,0.017544
10573,LogTrimTaggingSpeed,2.15625,4.457548,228,HorizontalPatternDetection,VerticalPatternDetection,,,14,,12,0.333333,0.014037
10577,LogTrimTaggingSpeed,0.443592,1.359986,192,HorizontalPatternDetection,VerticalPatternDetection,,,15,,14,0.75,0.034542
10578,LogTrimTaggingSpeed,1.844242,3.590642,334,HorizontalPatternDetection,VerticalPatternDetection,,,14,,13,0.9375,0.046887
10579,LogTrimTaggingSpeed,0.251852,1.190735,166,HorizontalPatternDetection,VerticalPatternDetection,,,13,,12,1,0.017544
10580,LogTrimTaggingSpeed,1.658539,3.156966,462,HorizontalPatternDetection,VerticalPatternDetection,,,21,,19,0.625,0.013981
10583,LogTrimTaggingSpeed,1.070337,2.099923,459,HorizontalPatternDetection,VerticalPatternDetection,,,28,,27,1,0.11863
10586,LogTrimTaggingSpeed,1.895414,3.720287,464,HorizontalPatternDetection,VerticalPatternDetection,,,32,,29,0.9375,0.099435
10587,LogTrimTaggingSpeed,2.205775,4.613224,368,HorizontalPatternDetection,VerticalPatternDetection,,,20,,16,1,0.033266
10588,LogTrimTaggingSpeed,1.98283,3.952677,444,HorizontalPatternDetection,VerticalPatternDetection,,,24,,21,1,0.061269
10589,LogTrimTaggingSpeed,1.256459,2.389086,275,HorizontalPatternDetection,VerticalPatternDetection,,,16,,12,1,0.022348
10590,LogTrimTaggingSpeed,0.681556,1.603868,276,HorizontalPatternDetection,VerticalPatternDetection,,,17,,17,1,0.076611
10592,LogTrimTaggingSpeed,1.361474,2.569476,496,HorizontalPatternDetection,VerticalPatternDetection,,,32,,29,0.875,0.047013
10593,LogTrimTaggingSpeed,1.341497,2.534141,355,HorizontalPatternDetection,VerticalPatternDetection,,,19,,15,0.25,0.036851
10594,LogTrimTaggingSpeed,2.782627,6.881041,368,HorizontalPatternDetection,VerticalPatternDetection,,,20,,17,1,0.033266
10595,LogTrimTaggingSpeed,1.273496,2.417467,406,HorizontalPatternDetection,VerticalPatternDetection,,,30,,26,1,0.063786
10596,LogTrimTaggingSpeed,0.575553,1.490248,345,HorizontalPatternDetection,VerticalPatternDetection,,,27,,23,1,0.106934
10598,LogTrimTaggingSpeed,3.511706,11.405878,308,HorizontalPatternDetection,VerticalPatternDetection,,,17,,15,0.833333,0.02543
10600,LogTrimTaggingSpeed,1.224574,2.336864,274,HorizontalPatternDetection,VerticalPatternDetection,,,16,,13,0.666667,0.011696
10601,LogTrimTaggingSpeed,1.385631,2.612863,248,HorizontalPatternDetection,VerticalPatternDetection,,,16,,13,1,0.018714
10602,LogTrimTaggingSpeed,1.517431,2.862809,475,HorizontalPatternDetection,VerticalPatternDetection,,,27,,23,0.875,0.05572
10603,LogTrimTaggingSpeed,0.980875,1.973662,92,HorizontalPatternDetection,VerticalPatternDetection,,,6,,6,0,0
10604,LogTrimTaggingSpeed,1.876103,3.670823,340,HorizontalPatternDetection,VerticalPatternDetection,,,19,,16,0.5,0.008772
10607,LogTrimTaggingSpeed,0.649607,1.56874,186,HorizontalPatternDetection,VerticalPatternDetection,,,15,,12,0.833333,0.04843
10608,LogTrimTaggingSpeed,1.769936,3.410388,377,HorizontalPatternDetection,VerticalPatternDetection,,,25,,22,0.9375,0.055727
10609,LogTrimTaggingSpeed,0.771164,1.706646,145,HorizontalPatternDetection,VerticalPatternDetection,,,9,,8,1,0.017544
